ПОСЛЕДОВАТЕЛЬНОСТЬ ТОКЕНОВ
Лексема | Тип | id в таблице | Строка | Позиция
product | IDENTIFIER | 15 | 43 | 26
) | DELIMITER | 3 | 43 | 33
; | DELIMITER | 5 | 43 | 34
printf | IDENTIFIER | 20 | 44 | 1
( | DELIMITER | 2 | 44 | 7
"quotient = %d\n" | CONSTANT_STRING | 8 | 44 | 8
, | DELIMITER | 7 | 44 | 25
quotient | IDENTIFIER | 16 | 44 | 27
) | DELIMITER | 3 | 44 | 35
; | DELIMITER | 5 | 44 | 36
printf | IDENTIFIER | 20 | 45 | 1
( | DELIMITER | 2 | 45 | 7
"factorial(%d) = %d\n" | CONSTANT_STRING | 9 | 45 | 8
, | DELIMITER | 7 | 45 | 30
a | IDENTIFIER | 11 | 45 | 32
, | DELIMITER | 7 | 45 | 33
fact | IDENTIFIER | 18 | 45 | 35
) | DELIMITER | 3 | 45 | 39
; | DELIMITER | 5 | 45 | 40
return | KEYWORD | 4 | 46 | 1
0 | CONSTANT_INT | 3 | 46 | 8
; | DELIMITER | 5 | 46 | 9
} | DELIMITER | 6 | 47 | 1
